# index    column     row     aimADC
819       19         20         10.00   
820       19         19         10.00   
821       19         18         10.00   
822       19         17         10.00   
823       19         16         10.00   
824       19         15         10.00   
825       19         14         10.00   
826       19         13         10.00   
827       19         12         10.00   
828       19         11         10.00   
829       19         10         10.00   
830       19         9          10.00   
831       19         8          10.00   
832       19         7          10.00   
833       19         6          10.00   
834       19         5          10.00   
835       19         4          10.00   
836       19         3          10.00   
837       19         2          10.00   
838       19         1          10.00   
839       19         0          10.00   
840       18         39         10.00   
841       18         38         10.00   
842       18         37         10.00   
843       18         36         10.00   
844       18         35         10.00   
845       18         34         10.00   
846       18         33         10.00   
847       18         32         10.00   
848       18         31         10.00   
849       18         30         10.00   
850       18         29         10.00   
851       18         28         10.00   
852       18         27         10.00   
853       18         26         10.00   
854       18         25         10.00   
855       18         24         10.00   
856       18         23         10.00   
857       18         22         10.00   
858       18         21         10.00   
859       18         20         10.00   
860       18         19         10.00   
861       18         18         10.00   
862       18         17         10.00   
863       18         16         10.00   
864       18         15         10.00   
865       18         14         10.00   
866       18         13         10.00   
867       18         12         10.00   
868       18         11         10.00   
869       18         10         10.00   
870       18         9          10.00   
871       18         8          10.00   
872       18         7          10.00   
873       18         6          10.00   
874       18         5          10.00   
875       18         4          10.00   
876       18         3          10.00   
877       18         2          10.00   
878       18         1          10.00   
879       18         0          10.00   
880       17         39         10.00   
881       17         38         10.00   
882       17         37         10.00   
883       17         36         10.00   
884       17         35         10.00   
885       17         34         10.00   
886       17         33         10.00   
887       17         32         10.00   
888       17         31         10.00   
889       17         30         10.00   
890       17         29         10.00   
891       17         28         10.00   
892       17         27         10.00   
893       17         26         10.00   
894       17         25         10.00   
895       17         24         10.00   
896       17         23         10.00   
897       17         22         10.00   
898       17         21         10.00   
899       17         20         10.00   
900       17         19         10.00   
901       17         18         10.00   
902       17         17         10.00   
903       17         16         10.00   
904       17         15         10.00   
905       17         14         10.00   
906       17         13         10.00   
907       17         12         10.00   
908       17         11         10.00   
909       17         10         10.00   
910       17         9          10.00   
911       17         8          10.00   
912       17         7          10.00   
913       17         6          10.00   
914       17         5          10.00   
915       17         4          10.00   
916       17         3          10.00   
917       17         2          10.00   
918       17         1          10.00   
919       17         0          10.00   
920       16         39         10.00   
921       16         38         10.00   
922       16         37         10.00   
923       16         36         10.00   
924       16         35         10.00   
925       16         34         10.00   
926       16         33         10.00   
927       16         32         10.00   
928       16         31         10.00   
929       16         30         10.00   
930       16         29         10.00   
931       16         28         10.00   
932       16         27         10.00   
933       16         26         10.00   
934       16         25         10.00   
935       16         24         10.00   
936       16         23         10.00   
937       16         22         10.00   
938       16         21         10.00   
939       16         20         10.00   
940       16         19         10.00   
941       16         18         10.00   
942       16         17         10.00   
943       16         16         10.00   
944       16         15         10.00   
945       16         14         10.00   
946       16         13         10.00   
947       16         12         10.00   
948       16         11         10.00   
949       16         10         10.00   
950       16         9          10.00   
951       16         8          10.00   
952       16         7          10.00   
953       16         6          10.00   
954       16         5          10.00   
955       16         4          10.00   
956       16         3          10.00   
957       16         2          10.00   
958       16         1          10.00   
959       16         0          10.00   
960       15         39         10.00   
961       15         38         10.00   
962       15         37         10.00   
963       15         36         10.00   
964       15         35         10.00   
965       15         34         10.00   
966       15         33         10.00   
967       15         32         10.00   
968       15         31         10.00   
969       15         30         10.00   
970       15         29         10.00   
971       15         28         10.00   
972       15         27         10.00   
973       15         26         10.00   
974       15         25         10.00   
975       15         24         10.00   
976       15         23         10.00   
977       15         22         10.00   
978       15         21         10.00   
979       15         20         10.00   
980       15         19         10.00   
981       15         18         10.00   
982       15         17         10.00   
983       15         16         10.00   
984       15         15         10.00   
985       15         14         10.00   
986       15         13         10.00   
987       15         12         10.00   
988       15         11         10.00   
989       15         10         10.00   
990       15         9          10.00   
991       15         8          10.00   
992       15         7          10.00   
993       15         6          10.00   
994       15         5          10.00   
995       15         4          10.00   
996       15         3          10.00   
997       15         2          10.00   
998       15         1          10.00   
999       15         0          10.00   
1000      14         39         10.00   
1001      14         38         10.00   
1002      14         37         10.00   
1003      14         36         10.00   
1004      14         35         10.00   
1005      14         34         10.00   
1006      14         33         10.00   
1007      14         32         10.00   
1008      14         31         10.00   
1009      14         30         10.00   
1010      14         29         10.00   
1011      14         28         10.00   
1012      14         27         10.00   
1013      14         26         10.00   
1014      14         25         10.00   
1015      14         24         10.00   
1016      14         23         10.00   
1017      14         22         10.00   
1018      14         21         10.00   
1019      14         20         10.00   
1020      14         19         10.00   
1021      14         18         10.00   
1022      14         17         10.00   
1023      14         16         10.00   
1024      14         15         10.00   
