column  row  current_HV_Setting  new_HV_Setting  Voltage_change
08      05      959.662          981.084         + 21.422
08      06      993.403         1027.281         + 33.878
08      07      963.819          994.063         + 30.244
08      08      987.262         1047.295         + 60.033
08      09      971.524         1003.984         + 32.460
08      10     1050.000         1050.000         +  0.000
08      11      984.784         1005.513         + 20.729
08      12      989.045         1035.289         + 46.244
08      13      982.575         1018.416         + 35.841
08      14      941.307          973.743         + 32.436
08      15      984.567         1034.243         + 49.676
08      16     1026.809         1050.000         + 23.191
08      17      964.867         1001.335         + 36.468
08      18     1015.621         1050.000         + 34.379
08      19      975.363         1002.249         + 26.886
08      20      974.914         1016.790         + 41.876
08      21      970.589         1008.911         + 38.322
08      22     1014.869         1050.000         + 35.131
08      23     1028.205         1050.000         + 21.795
08      24      994.172         1024.959         + 30.787
08      25      990.641         1020.653         + 30.012
08      26      993.816         1025.100         + 31.284
08      27      988.579         1050.000         + 61.421
08      28      983.378         1030.120         + 46.742
08      29     1017.871         1042.407         + 24.536
08      30     1011.911         1047.675         + 35.764
08      31     1002.433         1036.348         + 33.915
08      32      961.117          981.841         + 20.724
08      33      988.059         1024.544         + 36.485
08      34      978.555         1000.773         + 22.218
08      35      993.359         1029.490         + 36.131
08      36     1045.687         1050.000         +  4.313
08      37      995.784         1031.558         + 35.774
08      38     1010.787         1044.644         + 33.857
08      39      990.240         1024.917         + 34.677
09      00      972.237         1008.661         + 36.424
09      01      981.963         1009.235         + 27.272
09      02      976.884          996.537         + 19.653
09      03     1000.501         1035.231         + 34.730
09      04      982.016         1026.222         + 44.206
09      05      936.956          954.303         + 17.347
09      06      985.632         1018.879         + 33.247
09      07      974.790         1005.895         + 31.105
09      08      977.378         1010.478         + 33.100
09      09      993.669         1050.000         + 56.331
09      10      993.772         1050.000         + 56.228
09      11      988.663         1023.454         + 34.791
09      12      981.830         1016.497         + 34.667
09      13      960.040          971.946         + 11.906
09      14      988.551         1019.506         + 30.955
09      15     1017.615         1050.000         + 32.385
09      16      982.869         1008.993         + 26.124
09      17     1015.927         1031.560         + 15.633
09      18      983.701         1019.193         + 35.492
09      19      988.847         1021.620         + 32.773
09      20     1001.939         1031.786         + 29.847
09      21      988.311         1026.097         + 37.786
09      22      972.420         1001.705         + 29.285
09      23      981.738         1009.728         + 27.990
09      24     1022.262         1050.000         + 27.738
09      25     1049.533         1050.000         +  0.467
09      26      987.975         1042.714         + 54.739
09      27      987.081         1030.402         + 43.321
09      28     1029.639         1050.000         + 20.361
09      29     1028.587         1050.000         + 21.413
09      30     1001.463         1050.000         + 48.537
09      31     1007.899         1031.992         + 24.093
09      32      987.276         1005.569         + 18.293
09      33     1004.545         1035.918         + 31.373
09      34      989.314         1023.169         + 33.855
09      35      990.555         1024.135         + 33.580
09      36     1007.966         1041.983         + 34.017
09      37      947.727          982.477         + 34.750
09      38     1046.389         1050.000         +  3.611
09      39      995.379         1040.131         + 44.752
10      00     1046.037         1050.000         +  3.963
10      01      984.052         1002.926         + 18.874
10      02      989.428         1026.221         + 36.793
10      03      945.496          970.119         + 24.623
10      04      976.643          992.107         + 15.464
10      05      993.713         1033.089         + 39.376
10      06      984.201         1012.706         + 28.505
10      07     1026.968         1050.000         + 23.032
10      08      972.444         1000.640         + 28.196
10      09      947.026          971.853         + 24.827
10      10      866.972          899.422         + 32.450
10      11      850.000          862.037         + 12.037
10      12      851.201          867.224         + 16.023
10      13      850.000          854.560         +  4.560
10      14      850.000          849.396         -  0.604
10      15      850.000          874.056         + 24.056
10      16      850.000          867.776         + 17.776
10      17      861.179          904.295         + 43.116
10      18      888.771          909.975         + 21.204
10      19      867.249          895.673         + 28.424
10      20      860.505          884.280         + 23.775
10      21      853.224          866.550         + 13.326
10      22      867.253          910.437         + 43.184
10      23      861.550          876.855         + 15.305
10      24      906.311          921.605         + 15.294
10      25      890.204          921.393         + 31.189
10      26      850.000          861.376         + 11.376
10      27      866.842          892.764         + 25.922
10      28      860.866          868.105         +  7.239
10      29      910.658          948.190         + 37.532
10      30     1001.479         1041.412         + 39.933
10      31      980.566         1004.324         + 23.758
10      32      974.480         1046.567         + 72.087
10      33      988.157         1018.320         + 30.163
10      34      977.582         1017.137         + 39.555
10      35      980.959         1000.870         + 19.911
10      36      986.693         1021.145         + 34.452
10      37      980.658         1001.626         + 20.968
10      38      994.870         1040.508         + 45.638
10      39      990.311         1028.191         + 37.880
11      00     1019.440         1050.000         + 30.560
11      01      989.897         1023.538         + 33.641
