// index column row  mean  error sigma   chi2/ndf width  status
 245   33   34 123.575    0.726   40.000   76.977    93.200   FAILED
 246   33   33 124.788    0.726   40.000   67.363    93.200   FAILED
 247   33   32   3.084   167.244   30.000   -0.000    69.900   FAILED
 248   33   31 123.710    0.238   40.000   1082.463    93.200   FAILED
 249   33   30 123.963    0.342   40.000   354.161    93.200   FAILED
 250   33   29 123.642    0.458   40.000   251.115    93.200   FAILED
 251   33   28 123.746    0.649   40.000   83.202    93.200   FAILED
 252   33   27 124.336    1.449   40.000    8.910    93.200   FAILED
 253   33   26 124.736    1.025   40.000   28.432    93.200   FAILED
 254   33   25 123.309    0.836   40.000   59.494    93.200   FAILED
 255   33   24 124.718    1.024   40.000   22.007    93.200   FAILED
 256   33   23 124.998    1.449   40.000    9.909    93.200   FAILED
 257   33   22 123.901    0.725   40.000   70.853    93.200   FAILED
 258   33   21 125.024    1.452   40.000    9.414    93.200   FAILED
 259   33   20 123.093    1.026   40.000   34.793    93.200   FAILED
 260   33   19   3.084   167.244   30.000   -0.000    69.900   FAILED
 261   33   18 123.973    0.362   40.000   327.148    93.200   FAILED
 262   33   17 123.303    0.548   40.000   143.021    93.200   FAILED
 263   33   16 123.426    0.836   40.000   56.019    93.200   FAILED
 264   33   15 123.284    0.316   40.000   591.148    93.200   FAILED
 265   33   14   3.084   167.244   30.000   -0.000    69.900   FAILED
 266   33   13   3.084   167.244   30.000   -0.000    69.900   FAILED
 267   33   12   3.084   167.244   30.000   -0.000    69.900   FAILED
 268   33   11 123.595    0.248   40.000   934.201    93.200   FAILED
 269   33   10 123.666    0.483   40.000   233.946    93.200   FAILED
 270   33    9 123.597    0.111   40.000   5887.138    93.200   FAILED
 271   33    8 123.395    0.218   40.000   1252.255    93.200   FAILED
 272   33    7 123.069    0.045   40.000   37217.300    93.200   FAILED
 273   33    6 123.062    0.056   40.000   23527.304    93.200   FAILED
 274   33    5   3.084   167.244   30.000   -0.000    69.900   FAILED
 275   33    4 123.011    0.024   40.000   138497.615    93.200   FAILED
 276   33    3 122.989    0.039   40.000   50777.096    93.200   FAILED
 277   33    2 123.066    0.043   40.000   41074.032    93.200   FAILED
 278   33    1 123.023    0.051   40.000   28801.051    93.200   FAILED
 279   33    0 123.054    0.109   40.000   6110.135    93.200   FAILED
 280   32   39 124.193    1.026   40.000   28.449    93.200   FAILED
 281   32   38 124.631    1.028   40.000   25.659    93.200   FAILED
 282   32   37   3.084   167.244   30.000   -0.000    69.900   FAILED
 283   32   36   3.084   167.244   30.000   -0.000    69.900   FAILED
 284   32   35 123.693    0.725   40.000   69.485    93.200   FAILED
 285   32   34   3.084   167.244   30.000   -0.000    69.900   FAILED
 286   32   33 124.716    1.451   40.000    9.301    93.200   FAILED
 287   32   32   3.084   167.244   30.000   -0.000    69.900   FAILED
 288   32   31   3.084   167.244   30.000   -0.000    69.900   FAILED
 289   32   30 123.863    0.458   40.000   181.866    93.200   FAILED
 290   32   29 124.056    0.483   40.000   159.136    93.200   FAILED
 291   32   28 124.338    1.450   40.000    9.932    93.200   FAILED
 292   32   27 123.988    0.593   40.000   103.428    93.200   FAILED
 293   32   26 123.955    0.724   40.000   54.396    93.200   FAILED
 294   32   25 123.589    0.725   40.000   79.011    93.200   FAILED
 295   32   24 124.063    0.324   40.000   382.396    93.200   FAILED
 296   32   23 124.194    0.837   40.000   36.478    93.200   FAILED
 297   32   22 122.535    1.027   40.000   25.952    93.200   FAILED
 298   32   21 124.906    1.447   40.000   10.119    93.200   FAILED
 299   32   20 123.628    1.449   40.000   10.033    93.200   FAILED
 300   32   19 123.099    0.837   40.000   47.567    93.200   FAILED
 301   32   18 124.123    0.724   40.000   66.512    93.200   FAILED
 302   32   17 123.262    0.387   40.000   336.133    93.200   FAILED
 303   32   16 124.001    0.387   40.000   291.005    93.200   FAILED
 304   32   15   3.084   167.244   30.000   -0.000    69.900   FAILED
 305   32   14 123.201    0.512   40.000   208.368    93.200   FAILED
 306   32   13 123.613    0.241   40.000   1072.481    93.200   FAILED
 307   32   12 123.425    0.139   40.000   3371.342    93.200   FAILED
 308   32   11   3.084   167.244   30.000   -0.000    69.900   FAILED
 309   32   10 122.977    0.547   40.000   175.241    93.200   FAILED
 310   32    9 123.488    0.129   40.000   4248.952    93.200   FAILED
 311   32    8 122.978    0.056   40.000   24307.299    93.200   FAILED
 312   32    7   3.084   167.244   30.000   -0.000    69.900   FAILED
 313   32    6 123.023    0.034   40.000   65249.103    93.200   FAILED
 314   32    5 123.052    0.031   40.000   80824.863    93.200   FAILED
 315   32    4 123.025    0.083   40.000   10492.726    93.200   FAILED
 316   32    3 123.010    0.087   40.000   9960.015    93.200   FAILED
 317   32    2 123.104    0.086   40.000   10036.382    93.200   FAILED
 318   32    1 123.077    0.098   40.000   7714.703    93.200   FAILED
 319   32    0   3.084   167.244   30.000   -0.000    69.900   FAILED
 320   31   39 123.499    1.457   40.000    9.038    93.200   FAILED
 321   31   38   3.084   167.244   30.000   -0.000    69.900   FAILED
 322   31   37 123.558    1.453   40.000    7.218    93.200   FAILED
 323   31   36   3.084   167.244   30.000   -0.000    69.900   FAILED
 324   31   35   3.084   167.244   30.000   -0.000    69.900   FAILED
 325   31   34   3.084   167.244   30.000   -0.000    69.900   FAILED
 326   31   33 124.165    1.028   40.000   19.964    93.200   FAILED
 327   31   32   3.084   167.244   30.000   -0.000    69.900   FAILED
 328   31   31   3.084   167.244   30.000   -0.000    69.900   FAILED
 329   31   30   3.084   167.244   30.000   -0.000    69.900   FAILED
 330   31   29   3.084   167.244   30.000   -0.000    69.900   FAILED
 331   31   28   3.084   167.244   30.000   -0.000    69.900   FAILED
 332   31   27 123.923    1.449   40.000    7.994    93.200   FAILED
 333   31   26   3.084   167.244   30.000   -0.000    69.900   FAILED
 334   31   25 123.789    0.296   40.000   510.980    93.200   FAILED
 335   31   24 124.076    0.726   40.000   46.523    93.200   FAILED
 336   31   23   3.084   167.244   30.000   -0.000    69.900   FAILED
 337   31   22   3.084   167.244   30.000   -0.000    69.900   FAILED
 338   31   21 124.015    0.648   40.000   85.233    93.200   FAILED
 339   31   20 123.749    1.025   40.000   24.469    93.200   FAILED
 340   31   19 123.714    0.649   40.000   91.345    93.200   FAILED
 341   31   18 123.298    0.725   40.000   82.441    93.200   FAILED
 342   31   17 123.891    0.547   40.000   115.850    93.200   FAILED
 343   31   16 123.264    0.836   40.000   52.566    93.200   FAILED
 344   31   15 123.892    0.418   40.000   225.622    93.200   FAILED
 345   31   14 123.303    0.269   40.000   777.788    93.200   FAILED
 346   31   13 123.540    0.290   40.000   702.833    93.200   FAILED
 347   31   12 123.577    0.302   40.000   651.980    93.200   FAILED
 348   31   11 123.698    0.290   40.000   697.530    93.200   FAILED
 349   31   10 123.559    0.279   40.000   758.056    93.200   FAILED
 350   31    9 123.055    0.110   40.000   5842.109    93.200   FAILED
 351   31    8 122.931    0.079   40.000   12058.051    93.200   FAILED
 352   31    7 123.062    0.066   40.000   17307.334    93.200   FAILED
 353   31    6 123.014    0.086   40.000   9819.492    93.200   FAILED
 354   31    5 123.079    0.070   40.000   15475.763    93.200   FAILED
 355   31    4   3.084   167.244   30.000   -0.000    69.900   FAILED
 356   31    3 122.964    0.109   40.000   5976.463    93.200   FAILED
 357   31    2 123.036    0.050   40.000   30281.879    93.200   FAILED
 358   31    1 123.073    0.066   40.000   17278.727    93.200   FAILED
 359   31    0 122.992    0.061   40.000   20369.094    93.200   FAILED
 360   30   39   3.084   167.244   30.000   -0.000    69.900   FAILED
 361   30   38   3.084   167.244   30.000   -0.000    69.900   FAILED
 362   30   37   3.084   167.244   30.000   -0.000    69.900   FAILED
 363   30   36 123.885    0.549   40.000   120.334    93.200   FAILED
 364   30   35 124.252    1.450   40.000    9.309    93.200   FAILED
 365   30   34 122.410    1.454   40.000   10.331    93.200   FAILED
 366   30   33 123.355    1.453   40.000    8.548    93.200   FAILED
 367   30   32 123.849    0.593   40.000   112.929    93.200   FAILED
 368   30   31   3.084   167.244   30.000   -0.000    69.900   FAILED
 369   30   30   3.084   167.244   30.000   -0.000    69.900   FAILED
 370   30   29   3.084   167.244   30.000   -0.000    69.900   FAILED
 371   30   28 123.764    0.548   40.000   114.389    93.200   FAILED
 372   30   27 124.219    1.453   40.000   10.283    93.200   FAILED
 373   30   26 123.629    0.648   40.000   88.995    93.200   FAILED
 374   30   25 123.813    0.290   40.000   521.290    93.200   FAILED
 375   30   24 123.414    0.284   40.000   674.184    93.200   FAILED
 376   30   23 124.582    1.027   40.000   24.397    93.200   FAILED
 377   30   22   3.084   167.244   30.000   -0.000    69.900   FAILED
 378   30   21 124.236    0.459   40.000   191.272    93.200   FAILED
 379   30   20 123.870    1.025   40.000   27.792    93.200   FAILED
 380   30   19 123.582    1.026   40.000   31.562    93.200   FAILED
 381   30   18   3.084   167.244   30.000   -0.000    69.900   FAILED
 382   30   17 123.433    0.388   40.000   331.610    93.200   FAILED
 383   30   16 123.698    0.374   40.000   390.858    93.200   FAILED
 384   30   15 123.719    0.592   40.000   96.830    93.200   FAILED
 385   30   14 123.942    0.309   40.000   444.694    93.200   FAILED
 386   30   13 124.301    0.513   40.000   150.674    93.200   FAILED
 387   30   12 123.355    0.483   40.000   224.669    93.200   FAILED
 388   30   11 123.761    0.483   40.000   174.793    93.200   FAILED
