#row 1 Col 23 -> 37
29 18  116 72  120 76
30 18  120 72  124 76
31 18  124 72  128 76
32 18  128 72  132 76
33 18  132 72  136 76
34 18  136 72  140 76
35 18  140 72  144 76
36 18  144 72  148 76
37 18  148 72  152 76
38 18  152 72  156 76
39 18  156 72  160 76
40 18  160 72  164 76
41 18  164 72  168 76
42 18  168 72  172 76
43 18  172 72  176 76
44 18  176 72  180 76
45 18  180 72  184 76
46 18  184 72  188 76
47 18  188 72  192 76
48 18  192 72  196 76
49 18  196 72  200 76
50 18  200 72  204 76
51 18  204 72  208 76
52 18  208 72  212 76
53 18  212 72  216 76
54 18  216 72  220 76
55 18  220 72  224 76
56 18  224 72  228 76

#row 20 Col 2 -> 58
 1 19    4 76    8 80
 2 19    8 76   12 80
 3 19   12 76   16 80
 4 19   16 76   20 80
 5 19   20 76   24 80
 6 19   24 76   28 80
 7 19   28 76   32 80
 8 19   32 76   36 80
 9 19   36 76   40 80
10 19   40 76   44 80
11 19   44 76   48 80
12 19   48 76   52 80
13 19   52 76   56 80
14 19   56 76   60 80
15 19   60 76   64 80
16 19   64 76   68 80
17 19   68 76   72 80
18 19   72 76   76 80
40 19  160 76  164 80
41 19  164 76  168 80
42 19  168 76  172 80
43 19  172 76  176 80
44 19  176 76  180 80
45 19  180 76  184 80
46 19  184 76  188 80
47 19  188 76  192 80
48 19  192 76  196 80
49 19  196 76  200 80
50 19  200 76  204 80
51 19  204 76  208 80
52 19  208 76  212 80
53 19  212 76  216 80
54 19  216 76  220 80
55 19  220 76  224 80
56 19  224 76  228 80
57 19  228 76  232 80

#row 21 Col 2 -> 58
 1 20    4 80    8 84
 2 20    8 80   12 84
 3 20   12 80   16 84
 4 20   16 80   20 84
 5 20   20 80   24 84
 6 20   24 80   28 84
 7 20   28 80   32 84
 8 20   32 80   36 84
 9 20   36 80   40 84
10 20   40 80   44 84
11 20   44 80   48 84
12 20   48 80   52 84
13 20   52 80   56 84
14 20   56 80   60 84
15 20   60 80   64 84
16 20   64 80   68 84
17 20   68 80   72 84
18 20   72 80   76 84
40 20  160 80  164 84
41 20  164 80  168 84
42 20  168 80  172 84
43 20  172 80  176 84
44 20  176 80  180 84
45 20  180 80  184 84
46 20  184 80  188 84
47 20  188 80  192 84
48 20  192 80  196 84
49 20  196 80  200 84
50 20  200 80  204 84
51 20  204 80  208 84
52 20  208 80  212 84
53 20  212 80  216 84
54 20  216 80  220 84
55 20  220 80  224 84
56 20  224 80  228 84
57 20  228 80  232 84

#row 22 Col 2 -> 58
 1 21    4 84    8 88
 2 21    8 84   12 88
 3 21   12 84   16 88
 4 21   16 84   20 88
